TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-09-11 05:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-11 06:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-11 07:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-11 08:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-11 09:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-11 10:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-11 11:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-11 12:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-11 13:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-11 14:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-11 15:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-11 16:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-11 17:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-11 18:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-11 19:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-11 20:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-11 21:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-11 22:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-11 23:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-12 00:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-12 01:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-12 02:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-12 03:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-12 04:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-12 05:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-12 06:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-12 07:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-12 08:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-12 09:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-12 10:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-12 11:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-12 12:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-12 13:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-12 14:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-12 15:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-12 16:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-12 17:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-12 18:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-12 19:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-12 20:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-12 21:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-12 22:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-12 23:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-13 00:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-13 01:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-13 02:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-13 03:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-13 04:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-13 05:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-13 06:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-13 07:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-13 08:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-13 09:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-13 10:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-13 11:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-13 12:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-13 13:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-13 14:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-13 15:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-13 16:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-13 17:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-13 18:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-13 19:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-13 20:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-13 21:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-13 22:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-13 23:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-14 00:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-14 01:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-14 02:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-14 03:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-14 04:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-14 05:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-14 06:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-14 07:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-14 08:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-14 09:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-14 10:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-14 11:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-14 12:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-14 13:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-14 14:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-14 15:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-14 16:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-14 17:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-14 18:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-14 19:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-14 20:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-14 21:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-14 22:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-14 23:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-15 00:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-15 01:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-15 02:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-15 03:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-15 04:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-15 05:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-15 06:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-15 07:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-15 08:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-15 09:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-15 10:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-15 11:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-15 12:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-15 13:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-15 14:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-15 15:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-15 16:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-15 17:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-15 18:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-15 19:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-15 20:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-15 21:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-15 22:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-15 23:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-16 00:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-16 01:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-16 02:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-16 03:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-16 04:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-16 05:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-16 06:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-16 07:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-16 08:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-16 09:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-16 10:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-16 11:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-16 12:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-16 13:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-16 14:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-16 15:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-16 16:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-16 17:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-16 18:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-16 19:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-16 20:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-16 21:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-16 22:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
2024-09-16 23:00:00,18.9,38.97,4.32,6.8,14.44,0.16,13.29,September,Monsoon,Ganesh Chaturthi & Navratri,38.97,Good,Thanjavur,Tamil Nadu,10.659037,79.2014278
